,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
133,2013,6,Yan,Broadband high PAE GaN push-pull power amplifier for 500MHz to 2.5 GHz operation ,GaN,,1.5,42.5,63,DE,40,60,17,,,,,,,,GaN HEMTs
134,2014,7,Heijningenl,VSWR-protected 90 W L-band AlGaN/GaN power amplifier,GaN,,1.5,49.5,53,PAE,,,36,,,,,,,,AIGaN/GaN MMIC
135,2016,10,Kalyan,Reconfigurable and Concurrent Dual-Band Doherty Power Amplifier for Multiband and Multistandard Applications,GaN,,1.5,43,67,DE,31.8,35,24,,,,,,,,CGH40010F GaN HEMT
136,2016,8,Bukvic , Simple Design of a Class-J Amplifier With Predetermined Efficiency ,GaN,,1.5,39,85,DE,15,32,19,,,,,,,, GaN HEMT
137,2017,6,Sakata, An 80MHz modulation bandwidth high efficiency multi-band envelope-tracking power amplifier using GaN single-phase buck-converter ,GaN,,1.5,35,24.5,PAE,,,13,,,,30.3,32.2,"LTE (80 MHz, 6.5 dB PAPR)",,0.15μm GaN HEMTp
138,2018,9,Preis,A High-Efficiency GaN Transistor Module with Thick-Film BST-Based Tunable Matching Network,GaN,,1.5,43.1,73.9,PAE,,,,,,,,,,,
139,2018,12,Krishnamoorthy,A High-Efficiency Ultra-Broadband Mixed-Mode GaN HEMT Power Amplifier,GaN,,1.5,40,62,PAE,,,11,,,,,,,,GaN
140,2018,5,Amiri,L-Band Power Amplifier Design with Discrete GaN Transistor,GaN,,1.5,50,38,PAE,,,,,,,,,,,GaN
141,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1.0-3.0,1.5,41.3,62,DE,,,10.3,5MHz 6.5-dB PAPR,,,35.5,32.5 (DE),W-CDMA,,Wolfspeed CGH40010F
142,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1.0-3.0,1.5,41.3,62,DE,,,10.3,5MHz 6.5-dB PAPR,,,35.5,32.5 (DE),W-CDMA,,Wolfspeed CGH40010F
143,2021,3,Zhou,Broadband Doherty Power Amplifier Based on Coupled Phase Compensation Network,GaN ,1.3-2.3,1.5,43,65,DE,,,11.7,W-CDMA,,20,,,,,Cree CGH40010F
144,2015,1,Thian,High-Efficiency Harmonic-Peaking Class-EF Power Amplifiers With Enhanced Maximum Operating Frequency,GaN,,1.52,41.9,81,PAE,40,78,15.2,,,,,,,,GaN HEMT
145,2018,9,Fang,Modified Doherty Amplifier With Extended Bandwidth and Back-Off Power Range Using Optimized Peak Combining Current Ratio,GaN,,1.55,42.4,75,DE,,,20,,,40,,53(DE),carrier-aggregated signal with 8.9 dB PAPR,,Wolfspeed’s GaN packaged transistor CGH40006S
146,2018,4,Wu,High power class F GaN HEMT power amplifier in L band for global positioning systems application,GaN,,1.575,46.9,46.2,PAE,,,,,,,,,,,GaN
147,2012,4,Chen,Design of Adaptive Highly Efficient GaN Power Amplifier for Octave-Bandwidth Application and Dynamic Load Modulation,GaN,,1.6,43.5,79,DE,26,72,15,,,,43,74,GSM,,GaNHEMT
148,2012,12,King,Nonlinear Electrothermal GaN HEMT Model Applied to High-Efficiency Power Amplifier Design ,GaN,,1.6,41,80,PAE,,,,,,,,,,,GaN HEMT
149,2016,7,Giofre, A 300W complete GaN solid state power amplifier for positioning system satellite payloads ,GaN,,1.6,54.7,44,PAE,52,34,53.5,,,,,,,,GaN
150,2017,3,Arnous,A Novel Design Approach for Highly Efficient Multioctave Bandwidth GaN Power Amplifiers,GaN,,1.6,44,58,PAE,,,14,,,,,,,,GaN HEMT CG40025F
151,2017,10,Zhou,Efficiency enhanced post-matching Doherty power amplifier based on modified phase compensation network,GaN,,1.6,43,76,DE,40,60,10.6,,,,,,,,GaN HEMT CGH40010
152,2017,5,Aggrawal,Investigating Continuous Class-F Power Amplifier Using Nonlinear Embedding Model,GaN,,1.6,40,70,DE,,,10*,,,,,,,,CGH27015F GaN HEMT
153,2018,12,Rubio,Design of an 87% Fractional Bandwidth Doherty Power Amplifier Supported by a Simplified Bandwidth Estimation Method,GaN,,1.6,43,63,DE,39,52,10.5,,,,,,,,CGH40010F GaN HEMT
154,2018,1,Li,Class-X—Harmonically Tuned Power Amplifiers With Maximally Flat Waveforms Suitable for Over One-Octave Bandwidth Designs,GaN,,1.6,39.9,86,DE,23,78,16,,,,,,,,GaN
155,2018,4,Becerra,Class-X—Harmonically Tuned Power Amplifiers With Maximally Flat Waveforms Suitable for Over One-Octave Bandwidth Designs,GaN,,1.6,39.9,86,DE,,,12,,,,,,,,GaN CGH40010F
156,2021,6,Zhang,Design of a Quadband Doherty Power Amplifier With Large Power Back-Off Range,GaN,"0.5-0.7, 1.5-1.7, 2.5-2.7, 3.5-3.7",1.6,43,65,DE,,,13,LTE,,40,34.8,44.2,,,CGH40010F 
157,2016,8,Cheng,Two-Stage High-Efficiency Concurrent Dual-Band Harmonic-Tuned Power Amplifier,GaN,,1.62,40.2,71.5,PAE,11,42,23.2,,,,34,50.5,WCDMA,,a Cree HEMT (CGH40010F)
158,2016,5,Shi, Deign of broadband highly efficienct Doherty power amplifiers by using series of continuous modes ,GaN,,1.65,44.5,75,DE,43,71,13,,,,,,,,GaN CGH40010F
159,2016,5,Li, A Quad-Band Doherty Power Amplifier Based on T-Section Coupled Lines ,GaN,,1.65,42.4,52.7,DE,41,51,12,,,,,,,,CGH40010F GaN
160,2021,4,Choi,Doherty Power Amplifier Based on Asymmetric Cells With Complex Combining Load,GaN,1.68,1.68,43.5,53.6,PAE,,,13.5,LTE,,10,34,53.6,,,Cree CGH40006P / CGH40010F
161,2014,6,Yang,Continuous class BJ power amplifier with DGS output matching,GaN,,1.7,40,69,DE,,,12,,,,,,,,10W GaN HEMT
162,2015,5,Zhu,A highly efficient concurrent dual-band class-F power amplifier for applications at 1.7 and 2.14 GHz,GaN,,1.7,40.5,78,PAE,,,,,,,,,,,GaN
163,2016,12,Chen,Multiobjective Bayesian Optimization for Active Load Modulation in a Broadband 20-W GaN Doherty Power Amplifier Design,GaN,,1.7,36,63,DE,32,27,28,,,,37,54 (DE),"LTE (20 MHz, 6.7 dB PAPR)",,Cree CGH40010F GaN
164,2017,1,Amirpour, Enhancement of the Broadband Efficiency of a Class-J Power Amplifier With Varactor-based Dynamic Load Modulation ,GaN,,1.7,36.6,50,PAE,,,15,,,,31.7,38.2,"WCDMA (3.84 MHz, 7db PAPR)",,CGH60008D
165,2018,2,Zhou,Postmatching Doherty Power Amplifier With Extended Back-Off Range Based on Self-Generated Harmonic Injection,GaN,,1.7,42.5,80,DE,,,11,,,,32.2,,"WCDMA (5 MHz, 9.6 dB PAPR)",,Cree CGH 40010F
166,2018,6,Liu,A Novel Compensation Circuit of High-Efficiency Concurrent Dual-Band Class-E Power Amplifiers,GaN,,1.7,40.6,74.9,PAE,24,61,15,,,,,,,,CGH40010 GaN HEMT
167,2020,2,Liu,Bandwidth Enhancement of Frequency Dispersive Doherty Power Amplifier,GaN,,1.7,42,70,DE,,,10,,,,,,,,Wolfspeed CGH40006S
168,2020,2,Liu,Bandwidth Enhancement of Frequency Dispersive Doherty Power Amplifier,GaN,,1.7,42,70,DE,,,10,,,,,,,,Wolfspeed CGH40006S
169,2021,2,Liang,Wideband Two-Way Hybrid Doherty Outphasing Power Amplifier,GaN,1.4-2.5,1.7,44,70,DE,43,,12.5,LTE,,20,25.3,45,,,Wolfspeed CGH40010F
170,2022,4,Mugisho,Bandwidth and Power Back-off Performances of a Class-EM/F3 Power Amplifier,GaN ,1.7,1.7,40,62,PAE,,,14,,,,,,,,
171,2022,4,Gao,Dual-Band Three-Way Doherty Power Amplifier Employing Dual-Mode Gate Bias and Load Compensation Network,GaN ,1.7,1.7,44,55,DE,,,22,,,20,34.3,45.7,,,
172,2022,6,Vangipurapu,Intrinsically Mode-Reconfigurable Load-Modulation Power Amplifier Leveraging Transistor's Analog-Digital Duality,GaN ,1.7,1.7,41,68,DE,,,18,,,,,,,,
173,2022,6,Vangipurapu,Intrinsically Mode-Reconfigurable Load-Modulation Power Amplifier Leveraging Transistor's Analog-Digital Duality,GaN ,1.7,1.7,41,71,DE,,,15,20MHz LTE,,20,32.3,52.9(DE),,,
174,2018,1,Kilic,Highly efficient dual-band GaN power amplifier utilising pin diode-based tunable harmonic load matching,GaN,,1.72,41,50.2,PAE,,,,,,,,,,,GaN
175,2014,12,Watanabe,A Miniature Broadband Doherty Power Amplifier With a Series-Connected Load,GaN,,1.73,34,59,PAE,29,52,19,,,,,,,,GaN HEMT
176,2014,7,Merrick,A wideband Sequential Power Amplifier,GaN,,1.74,46.5,65,DE,,,,,,,,,,,GaN HEMT
177,2016,11,Chen,A Broadband Doherty Power Amplifier Based on Continuous-Mode Technology,GaN,,1.75,45,72.5,DE,39,64,12.5,,,,37.8*,61* (DE),"LTE (20 MHz, 7.5 dB PAPR)",,GaN
178,2009,6,Wright,"An efficient, linear, broadband class-J-mode PA realised using RF waveform engineering",GaN,,1.8,,,,40**,60,,,,,35.5,42.5(DE),W-CDMA,,
179,2011,10,Chen,Design of Highly Efficient Broadband Class-E Power Amplifier Using Synthesized Low-Pass Matching Networks,GaN,,1.8,43,75,PAE,,,25,,,,40,80,GSM,Class E,25-W Cree GaN HEMT
180,2012,6,Bathich,Wideband harmonically-tuned GaN Doherty power amplifier,GaN,,1.8,49.5,63,PAE,,,,,,,41,50 (DE),LTE (7.3 dB PAPR) @1.85 GHz,Doherty PA. *Data estimated from graph,GaN
181,2012,4,Saad,Design of a Concurrent Dual-Band 1.8–2.4-GHz GaN-HEMT Doherty Power Amplifier,GaN,,1.8,43,64,PAE,32,14.2,13,,,,33.2,34.1,Concurrent 10-MHz LTE signal with 7-dB PARR at 1.8 GHz + 10-MHz WiMAX signal with 8.5-dB PAR at 2.4 GHz ,,hybrid GaN-HEMT
182,2012,6,Andersson,Decade bandwidth high efficiency GaN HEMT power amplifier designed with resistive harmonic loading ,GaN,,1.8,41,50,PAE,,,,,,,34.2,29,"LTE (10 MHz, 7 dB PAPR)",,GaN HEMT
183,2012,6,Chen,Design of broadband high-efficiency power amplifier using in-band Class-F−1/F mode-transferring technique,GaN,,1.8,40,80,PAE,38,60,20,,,,,,,,Cree CGH40010F GaN
184,2012,12,Kawai,A High-Efficiency Low-Distortion GaN HEMT Doherty Power Amplifier With a Series-Connected Load ,GaN,,1.8,31,58,PAE,,,,,,,30,52,3GPP W-CDMA,,GaN HEMT 
185,2013,6,Wentzel,A dual-band voltage-mode class-D PA for 0.8/1.8 GHz applications,GaN,,1.8,36.33,,,,,,,,,,,,,GaN PA MMIC
186,2015,1,Park,GaN HEMT MMIC Doherty Power Amplifier With High Gain and High PAE,GaN,,1.8,42.8,60,DE,35,51,19.8,,,,35.57,56.3,"LTE (10 MHz, 6.5 dB PAPR)",Doherty,0.25 um GaN pHEMT
187,2016,8,Pang, Novel design of highly-efficient concurrent dual-band GaN Doherty power amplifier using direct-matching impedance transformers ,GaN,,1.8,43.7,72,DE,33,40,13.2,,,,37,59.8 / 50.7 (DE),Concurrent 1.8 / 2.6 GHz LTE (20 MHz. 7 dB PAPR),,GaN HEMT CGH40010F
188,2016,6,Shi, Design of Broadband Power Amplifiers Based on Resistive-Reactive Series of Continuous Modes ,GaN,,1.8,43,75,DE,,,,,,,,,,resistive-reactiveseriesofcon-tinuous mode,CGH40010 F 
189,2017,11,Wolff,Highly Efficient 1.8-GHz Amplifier With 120-MHz Class-G Supply Modulation,GaN,,1.8,49,,,,,12.6,,-40,,39,38.5,"120 MHz, 10 dB PAPR",,GaN-HEMT
190,2017,4,Tang, Over Second Octave Power Amplifier Design Based on Resistive–Resistive Series of Continuous Class-F/F−1Modes ,GaN,,1.8,42,54.5,DE,,,,,,,,,,*At input power = 28 dm,CGH40010F
191,2017,6,Quaglia,Design and characterization of a 1.7–2.7 GHz quasi-MMIC Doherty power amplifier,GaN,,1.8,42,49.5,DE,35,41,13,,,,,,,,Qorvo’s AlGaN/GaN HEMT 0.25 μm
192,2018,6,Saad,Ultra-Wideband Doherty-Like Power Amplifier,GaN,,1.8,47.8,55.1,DE,37,37.5,13,,,,37,44 (DE),"LTE (10 MHz, 9 dB PAPR)",,CGHV1F006S GaN HEMT
193,2018,2,Li,Multiband and Multimode Concurrent PA With Novel Intermodulation Tuning Network for Linearity Improvement,GaN,,1.8,42.2,75,DE,,,,,,,35*,40.3,"LTE (10 MHz), Concurrent Mode 1.8/2.1",,e GaN HEMT CGH40010P
194,2018,9,Saad,A 1.8–3.8-GHz Power Amplifier With 40% Efficiency at 8-dB Power Back-Off,GaN,,1.8,44.5,44,DE,,,9.5,,,,,,,,
195,2018,6,Saad,Ultra-Wideband Doherty-Like Power Amplifier,GaN,,1.8,47.8,55,DE,,,10,,,50,37,50(DE),five 10 MHz LTE carriers with 9 dB PAPR,," 6 W GaN-HEMT device, CGHV1F006S"
196,2018,9,Preis,A High-Efficiency GaN Transistor Module with Thick-Film BST-Based Tunable Matching Network,GaN,,1.8,42.4,65,PAE,,,,,,20 MHz LTE,35,17.5,,,
197,2018,5,Heinrich,GaN pushing the limits of high-speed switching,GaN,,1.8,41.46,45,PAE,,,34,,,,,,,Digital,GaN
198,2019,4,Yang,Design of Concurrent Dual-Band Continuous Class-J Mode Doherty Power Amplifier With Precise Impedance Terminations,GaN,,1.8,46.5,68.5,DE,,,13.9,,,,,,,,
199,2020,7,Gilasgar,High_efficiency Reconfigurable Dual-Band Class-F Power Amplifier With Harmonic Control Network Using MEMS,GaN,0.9,1.8,38.5,57.9,PAE,,,10.5,,,,,,,,GaN HEMT
200,2020,1,Jia,A 1.8 - 3.4-GHz Bandwidth-Improved Reconfigurable Mode Doherty Power Amplifier Utilizing Switches,GaN,1.8-3.4,1.8,45,45,DE,42,,8.1,,,,,,,,HEMT CGH40010F
201,2020,6,Pang,Multiband Dual-Mode Doherty Power Amplifier Employing Phase Periodic Matching Network and Reciprocal Gate Bias for 5G applications,GaN,,1.8,39.6,59.8,PAE,,,8.7,,,,,,,,
202,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1 GHz - 3 GHz,1.8,41,75,DE,,,17,5MHz 6.5-dB PAPR,,,35.5,32,W-CDMA,,CGH40010F
203,2020,7,Cao,Pseudo-Doherty Load-Modulated Balanced Amplifier With Wide Bandwidth and Extended Power Back-Off Range,GaN,,1.8,43,67,DE,,,8.5,LTE,,,33.5,51(DE),LTE,,Wolfspeed CGH40006P
204,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1 GHz - 3 GHz,1.8,41,75,DE,,,17,5MHz 6.5-dB PAPR,,,35.5,32,W-CDMA,,CGH40010F
205,2020,7,Gilasgar,High_efficiency Reconfigurable Dual-Band Class-F Power Amplifier With Harmonic Control Network Using MEMS,GaN,0.9,1.8,38.5,57.9,PAE,,,10.5,,,,,,,,GaN HEMT
206,2020,1,Jia,A 1.8 - 3.4-GHz Bandwidth-Improved Reconfigurable Mode Doherty Power Amplifier Utilizing Switches,GaN,1.8-3.4,1.8,45,45,DE,42,,8.1,,,,,,,,HEMT CGH40010F
207,2020,7,Cao,Pseudo-Doherty Load-Modulated Balanced Amplifier With Wide Bandwidth and Extended Power Back-Off Range,GaN,,1.8,43,67,DE,,,8.5,LTE,,,33.5,51(DE),LTE,,Wolfspeed CGH40006P
208,2021,3,Kang,Optimized Broadband Load Network for Doherty Power Amplifier Based on Bandwidth Balancing ,GaN,1.15-2.45,1.8,47.2,50,DE,,,,LTE,,,40,46,,,Wolfspeed CGH27030F
209,2021,4,Cai,High-Efficiency Power Amplifier with a Multiharmonic Tuning Network,GaN,1.8,1.8,39.2,78.2,DE,,,19,,,,,,,,Cree CGH40010F
210,2021,7,Han,Design of 0.6-0.8-GHz and 1.6-1.9-GHz Dual-Band PA With Peak PAEs of Over 70% by NPE Method With Dynamical Continuous-Mode Criteria,GaN,"0.6-0.8, 1.6-1.9",1.8,41,70,PAE,,,13,,,,,,,,GaN HEMT
211,2021,,Lyu,Wideband Quasi-Balanced Doherty Power Amplifier with Reciprocal Main/Auxiliary Setting and Mismatch-Resislient Parallel/Series Reconfiguration ,GaN ,1.55-2.7,1.8,43,72,DE,40.5,,12.6,LTE,,20,35.1,44.5,,,CGH40006P
212,2021,4,Cai,High-Efficiency Power Amplifier with a Multiharmonic Tuning Network,GaN,1.8 GHz,1.8,39.2,78.2,PAE,,,20,,,,,,,Analog,CGH40010
213,2021,6,Sharma,Novel Continuous Inverse Class F Power Amplifier for High Power 5G Macro Base Station Application,GaN,1.8 - 2.2 GHz,1.8,54,70,DE,,,20.2,,,,,,,Analog,NXP GaN
214,2022,5,Sun,Broadband Three-stage Pseudoload Modulated Balanced Amplifier With Power Back-off Efficiency Enhancement,GaN ,1.8,1.8,44,70,DE,,,11,20 MHz 10.32 PAPR,,20,30,53,,,
215,2021,4,Cai ,High-Efficiency Power Amplifier with a Multiharmonic Tuning Network,GaN,1.8,1.8,39.2,78.2,PAE,,,20,,,,,,,,
216,2015,6,Sánchez-Pérez,Optimized Design of a Dual-Band Power Amplifier With SiC Varactor-Based Dynamic Load Modulation,GaN,,1.84,51.9,52.7,PAE,,,,,,,34.4,53.6 (DE),"WCDMA (3.84 MHz, 6.5 dB PAPR)",DLM,GaN HEMT
217,2017,6,Gonçalves,Conservative current and charge data extracted from pulsed S-parameter measurements for GaN HEMT PA design,GaN,,1.84,41.8,65.5,DE,,,,,,,,,,,CGH27015P GaN HEMT
218,2017,10,Wolff,Highly efficient class-G supply-modulated amplifier with 75 MHz modulation bandwidth for 1.8–1.9 GHz LTE FDD applications,GaN,,1.84,,,,,,,,-41.1,,38.5,38.5,"LTE (75 MHz, 10.4 dB PAPR)",,GaN-HEMT
219,2018,8,Cai,A Concurrent Dual-Band High-Efficiency Power Amplifier With a Novel Harmonic Control Network,GaN,,1.84,39.9,78.5,PAE,34,42,12.9,,,,,,,,CGH40010 GaN HEMT
220,2018,9,Wolff,Dynamic Over-Voltage Operation of a Discrete-Level Supply-Modulated GaN-based RF PA,GaN,,1.84,50.1,,,,,,,,,,,,,0.5um
221,2018,10,Cai,A Concurrent Dual-Band High-Efficiency Power Amplifier With a Novel Harmonic Control Network,GaN,,1.84,39.9,78.5,PAE,,,12.9,,,,,,,,
222,2011,11,Moon,A Multimode/Multiband Envelope Tracking Transmitter With Broadband Saturated Amplifier ,GaN,,1.8425,41,57,PAE,,,10.62,,,,34.72,32.16,"LTE ( 10 MHz, 6.5 dB PAPR)",, GaN HEMT 
223,2013,12,Son,Broadband Saturated Power Amplifier With Harmonic Control Circuits,GaN,,1.85,51,75,DE,42,30,15,,,,44.5,44.5 (DE),LTE,,GaN
224,2015,11,Chen,Bayesian Optimization for Broadband High-Efficiency Power Amplifier Designs,GaN,,1.85,44,70,DE,,,11.9,,,,,,,,30 W Cree CGHV400 0F GaN HEMT
225,2015,5,Cai,|ΓL|-dependent polynomial behavioral model for RF power transistors,GaN,,1.85,41,75,PAE,,,16,,,,,,,,GaN
226,2016,5,Wolff1,A three-level class-G modulated 1.85 GHz RF power amplifier for LTE applications with over 50% PAE,GaN,,1.85,48,72,PAE,,,,,-34.4,,40,50.9,"LTE (10 MHz, 9 dB PAPR)",,GaN-HEMT
227,2016,10,Kalyan,Reconfigurable and Concurrent Dual-Band Doherty Power Amplifier for Multiband and Multistandard Applications,GaN,,1.85,43,65,DE,30,34,17,,,,,,,,CGH40010F GaN HEMT
228,2020,8,Pang,Broadband RF-Input Continuous-Mode Load-Modulated Balanced Power Amplifier With Input Phase Adjustment,GaN,1.45 GHz - 2.45 GHz,1.85,46,65,PAE,,,13.4,100MHz 8-dB PAPR,,,37.8,45.6,OFDM,,Wolfspeed CGH40010F HEMT
229,2020,8,Pang,Broadband RF-Input Continuous-Mode Load-Modulated Balanced Power Amplifier With Input Phase Adjustment,GaN,1.45 GHz - 2.45 GHz,1.85,46,65,PAE,,,13.4,100MHz 8-dB PAPR,,,37.8,45.6,OFDM,,Wolfspeed CGH40010F HEMT
230,2017,8,Xu, High-Efficiency Filter-Integrated Class-F Power Amplifier Based on Dielectric Resonator ,GaN,,1.88,40,70.7,PAE,13,25,18,,,,,,,, GaN HEMT CGH40010F
231,2020,7,Dhar,Input-Harmonic-Controlled Broadband Continuous Class-F Power Amplifiers for Sub-6-GHz 5G Applications,GaN,,1.88,53.5,70.7,DE,,,15,LTE,,,46,47.5,20 MHz LTE,,25-mm GaN Power Device
232,2006,1,Xu,A high-efficiency class-E GaN HEMT power amplifier at 1.9 GHz,GaN,,1.9,37.2,57,PAE,35,54,10,,,,,,,,0.7um AlGaN/GaN
233,2012,6,Preis,Investigation of class-B/J continuous modes in broadband GaN power amplifiers,GaN,,1.9,48.5,60.5,PAE,,,,,,,,,,,GaN 
234,2013,6,Chen,A novel design method of concurrent dual-band power amplifiers including impedance tuning at inter-band modulation frequencies,GaN,,1.9,41.8,70,DE,28.5,20,16.5,,,,,,,,10-Watts GaN HEMT
235,2013,10,Chen,Enhanced Analysis and Design Method of Concurrent Dual-Band Power Amplifiers With Intermodulation Impedance Tuning,GaN,,1.9,41.5,,,35,,17,,,,31.18,36.1,"LTE (10 MHz, 16-QAM, 7 dB PAPR)",,GaN HEMT
236,2013,10,Huang,Design of Broadband Linear and Efficient Power Amplifier for Long-Term Evolution Applications,GaN,,1.9,,,,,,,,,,37.5,55,LTE (20 MHz),,Cree's CGH40010F GaN HEMT
237,2013,10,Huang,Design of Broadband Linear and Efficient Power Amplifier for Long-Term Evolution Applications,GaN,,1.9,,,,,,,,,,38.5,60,Two Tone (5 MHz BW),,Cree's CGH40010F GaN HEMT
238,2015,11,Pang,A Post-Matching Doherty Power Amplifier Employing Low-Order Impedance Inverters for Broadband Applications,GaN,,1.9,46,68,DE,32,30,13.8,,,,43*,37* (DE),"LTE (20 MHz, 10.5 dB PAPR)",DPA,GaN HEMT
239,2015,5,Fang,"Broadband, wide efficiency range, Doherty Amplifier design using frequency-varying Complex Combining Load",GaN,,1.9,42,74,DE,33.5,60,12,,,,33.5,56.5* (DE),WCDMA,DPA (Frequency-varying CCL),GaN
240,2015,5,Hallberg,A class-J power amplifier with varactor-based dynamic load modulation across a large bandwidth,GaN,,1.9,41.5,51,PAE,,,,,,,33.5,49,"WCDMA (3.84 MHz, 6.7 dB PAPR)",,GaN HEMT
241,2015,5,Chen,Broadband high-efficiency power amplifiers design based on hybrid continuous modes utilizing the optimal impedances at package plane,GaN,,1.9,41,75,DE,,,14,,,,36.5*,49* (DE),"WCDMA (5 MHz, 6 dB PAPR)",Hybrid Continuous Modes,10 W CGH40010FHEMT
242,2016,1,Pang,A Novel Design of Concurrent Dual-Band High Efficiency Power Amplifiers With Harmonic Control Circuits,GaN,,1.9,41,80,DE,35,42,15,,,,41.1 / 40.8,70 / 74 (DE),"Dual band 1.9 / 2.6 GHz  LTE (20 MHz, 7 dB PAPR)",,GaN HEMT CGH40010F
243,2017,10,Hajji,"85W Pavg, 500W peak power, 1.8–2.2GHz wideband GaN Doherty power amplifier",GaN,,1.9,57,,,,,,,,,49.3,47 (DE),WCDMA (10 dB PAPR),,Qorvo’s 0.25um GaN on SiC
244,2017,3,Shi,The Influence of the Output Impedances of Peaking Power Amplifier on Broadband Doherty Amplifiers,GaN,,1.9,45.2,67,DE,38.2,56,14.5,,,,36.1,43.5,"WCDMA (5 MHz, 8.6 dB PAPR) @2GHz",,CGH40010F
245,2018,11,Kuwata,Broadband 2 W SiGe - GaN Driver Amplifier and 28 W GaN on Si Power Amplifier,GaN,,1.9,46.6,57.7,PAE,,,21.5,,,,,,,,0.5um
246,2019,11,Latha,Nonlinear Embedding Model-Based Continuous Class E/F Power Amplifier,GaN,1.5-2.9 GHz,1.9,41.9,69,PAE,,,11,,,,,,,,GaN
247,2022,6,Chen ,A 700-2800MHz Switchless Class-G Power Amplifier with Two-Quadrant Modulation for Back-off Efficiency Improvement,GaN ,1.9,1.9,44,59,PAE,,,11,,,,,,,,
248,2022,2,Mary,Design of Ultra-Wideband Power Amplifier Based on Extended Resistive Continuous Class B/J Mode,GaN,0.5-3.25,1.9,42,55,PAE,,,11.5,LTE,<-27 ACPR,20,,30.7,,,CG2H40010F
249,2008,7,Zhu,Open-Loop Digital Predistorter for RF Power Amplifiers Using Dynamic Deviation Reduction-Based Volterra Series,GaN,,1.94,,,,,,,,,3.84,40,,W-CDMA,,
250,2015,2,Park,Gate Bias Adaptation of Doherty Power Amplifier for High Efficiency and High Power,GaN,,1.94,51,68.1,DE,43,60,15,,,,44.35,57.2,"LTE (10 MHz, 6.5 dB PAPR)",Doherty,GaN  HEMT  CGH40045
251,2015,7,Park,Optimized Doherty power amplifier with a new offset line,GaN,,1.94,50,65,DE,42,56,14,,,,43.6,56.9,"LTE ( 10 MHz, 6.5 dB PAPR)",,GaN HEMT
252,2016,8,Kim, Accurate Offset Line Design of Doherty Amplifier With Compensation of Peaking Amplifier Phase Variation ,GaN,,1.94,51.5,65,DE,44,54,16,,,,45.4,54.8,"LTE (10 MHz, 7.5 dB PAPR)",,GaN pHEMT CGH40045
253,2011,6,Heijden,A 19W high-efficiency wide-band CMOS-GaN class-E Chireix RF outphasing power amplifier,GaN,,1.95,42.79,70,DE,,,,,,,42.79,51.6,WCDMA (PAR = 7.5 dB),,GaN HEMT
254,2015,6,Park,Analysis of Average Power Tracking Doherty Power Amplifier,GaN,,1.95,50,60,DE,,,13.5,,,,42.9,53.2 (DE),"LTE (10 MHz, 6.5 dB PAPR)",,GaN HEMT
255,2016,2,Özen,Symmetrical Doherty Power Amplifier With Extended Efficiency Range,GaN,,1.95,44,60,PAE,50,34.5,11.3,,,,35.16,50,"LTE (20 MHz, 7.5 dB PAPR)",,GaN HEMT
256,2017,6,Chen,A 200 watt broadband continuous-mode doherty power amplifier for base-station applications,GaN,,1.95,53,60,DE,48,52,14.5,,,,45.5,47* (DE),"LTE (10 MHz, 7.5 PAPR)",,2 x 100 W GaN
257,2014,6,Heijden,A radio-frequency reconfigurable CMOS-GaN class-E Chireix power amplifier,GaN,,1.96,42,70,DE,,,,,,,,,,,a 2.4mm GaN HEMT
258,2016,6,Xia, A Broadband High-Efficiency Doherty Power Amplifier With Integrated Compensating Reactance ,GaN,,1.96,44,63,DE,40,61,14.5,,,,37.9,52.1 (DE),LTE (20 MHz),, CGH40010F GaN HEMT
259,2022,4,Tanaka,A 2-GHz 79%=PAE Power Amplifier with a Novel Harmonic Tuning Circuit Using Only CRLH TLs,GaN ,1.97,1.97,46.04,79.3,PAE,,,15,,,,,,,,
260,2022,4,Tanaka,A 2-GHz 79%-PAE Power Amplifier with a Novel Harmonic Tuning Circuit Using Only CRLH TLs,GaN,1.97,1.97,46.04,79.3,PAE,,,15,,,,,,,,GaN HEMT CGH40010F
261,2006,1,Gao,Two-stage quasi-class-E power amplifier in GaN HEMT technology,GaN,,2.0,37.5,50,PAE,36,49,18.2,,,,,,,,0.7um AlGaN/GaN
262,2007,6,Kobayashi,"A 2 Watt, Sub-dB Noise Figure GaN MMIC LNA-PA Amplifier with Multi-octave Bandwidth from 0.2-8 GHz",GaN,,2.0,34.2,39,PAE,32.9,29,16.5,,,,,,,,0.2um AlGaN/GaN-SiC
